Title,Author,Publisher,Publish Date,Price,Rating,Review Count,Detail URL
챗GPT 프롬프트 120% 질문 기술,ChatGPT 비즈니스 연구회/김모세 역,정보문화사,2024년 04월,13500,9.3,39,https://www.yes24.com/product/goods/126181417
견고한 데이터 엔지니어링,"조 라이스, 맷 하우슬리/김인범 역",한빛미디어,2023년 06월,34200,9.2,39,https://www.yes24.com/product/goods/119712582
"챗GPT는 거들 뿐, 생기부는 내가 쓴다","장승아, 조원정",위키북스,2025년 09월,14400,0.0,0,https://www.yes24.com/product/goods/153913285
RAG 마스터 : 랭체인으로 완성하는 LLM 서비스,"브라이스 유, 조경아, 박수진, 김재웅",프리렉,2025년 04월,28800,10.0,5,https://www.yes24.com/product/goods/144689418
보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책,박경수,한빛비즈,2025년 08월,19800,9.5,12,https://www.yes24.com/product/goods/150009333
7가지 프로젝트로 배우는 LLM AI 에이전트 개발,황자/김진호 역,제이펍,2025년 04월,32400,10.0,4,https://www.yes24.com/product/goods/144457106
파이썬으로 시작하는 데이터 분석,강지영,아이리포,2025년 11월,24300,10.0,1,https://www.yes24.com/product/goods/160496360
따라만 하세요 챗GPT 비오3 VEO3 미드저니 AI로 유튜브 쇼츠 인스타그램 릴스 틱톡 네이버 클립 숏폼 인공지능 동영상 만들기 제작 책 학원강의 교재보다 좋은 USB 강좌 교육(USB),액션미디어 편집부,액션미디어,2025년 12월,39800,10.0,1,https://www.yes24.com/product/goods/167652813
AI를 활용한 법률문서 작성법,김종엽,(주)박영사,2025년 05월,27000,10.0,6,https://www.yes24.com/product/goods/146335247
직장인을 위한 AI 실무 엑셀&파워포인트&워드,"박미정, 박은진",길벗,2025년 09월,23400,10.0,11,https://www.yes24.com/product/goods/153663553
기획에서 출시까지 FastAPI 개발 백서,차경묵,길벗,2025년 11월,37800,9.8,19,https://www.yes24.com/product/goods/162329199
그림으로 배우는 AI,미츠무라 나오키/양성건 역,영진닷컴,2023년 10월,15300,9.8,21,https://www.yes24.com/product/goods/122849025
수학자와 함께하는 인공지능 수학 with 파이썬,"김종락, 원병선",한빛아카데미,2024년 01월,32000,10.0,4,https://www.yes24.com/product/goods/124832401
밑바닥부터 시작하는 딥러닝 3,사이토 고키/개앞맵시 역,한빛미디어,2020년 11월,34200,9.7,31,https://www.yes24.com/product/goods/95343845
IT 트렌드 2026,김지현,크레타,2025년 10월,18000,9.8,23,https://www.yes24.com/product/goods/154580236
혼자서도 척척 해내는 AI 에이전트 만들기 with 랭체인 & 랭그래프,강병진,제이펍,2026년 01월,25200,0.0,0,https://www.yes24.com/product/goods/172726927
핸즈온 바이브 코딩,정도현,한빛미디어,2025년 10월,19800,9.6,30,https://www.yes24.com/product/goods/160603535
LLM을 위한 프롬프트 엔지니어링,"존 베리먼, 앨버트 지글러/김정인 역",제이펍,2026년 01월,25200,0.0,0,https://www.yes24.com/product/goods/170504549
밑바닥부터 시작하는 딥러닝 5,사이토 고키/개앞맵시 역,한빛미디어,2024년 10월,29700,9.7,20,https://www.yes24.com/product/goods/134648807
LLM 디자인 패턴,켄 황/최용 역,위키북스,2025년 11월,31500,0.0,0,https://www.yes24.com/product/goods/166382462
LLM 엔지니어링,"폴 이우수틴, 막심 라본/조우철 역",한빛미디어,2025년 05월,34200,9.8,18,https://www.yes24.com/product/goods/145962625
그림으로 이해하는 챗GPT 구조와 기술,나카타니 슈요/박광수 역,길벗,2025년 11월,21600,9.9,18,https://www.yes24.com/product/goods/162116171
챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템,설근민,제이펍,2025년 08월,22500,10.0,7,https://www.yes24.com/product/goods/151170115
MCP로 똑똑하게 일하는 법,케이트리,제이펍,2025년 06월,19800,9.4,10,https://www.yes24.com/product/goods/147562901
혼자 만들면서 공부하는 딥러닝,박해선,한빛미디어,2025년 05월,25200,9.8,33,https://www.yes24.com/product/goods/146006911
